Tag,Nickname,Country,pfp,Illust,original_credit,Original_Message,Translation
@pon_hering,ぽんへり,Japan,1FJ_pt_50xA6dNq141iK6anFFLuBbNain.png,,,ししろんデビュー1周年おめでとうございます！いつも楽しそうに笑いながら配信してる姿とゲームの腕前に魅せられてから、日々たくさんの魅力溢れる一面を追っていくうちに気づけばあっという間に1年が経っていました。面倒見が良く仲間思いなところ、かっこよく頼りがいのあるところ、かと思えば時折儚げで放っておけないところ、ふとした瞬間にみせるお茶目で可愛いところ。どんなししろんも本当に大好きです。これからもししろんのやりたいこと、夢に向かって時にはぐうたらいおんしながら自分の信じる道を突き進んでいってください。SSRBの一員としてこれからも活動応援してます！,
ayAto.pptx#5124,ayAto.pptx,Japan,1KOaj3UV6bQDsQZ-t8OpFyn1B-B_T14N.jpg,,,㊗️獅白ぼたん一周年❗️SSRBに加入してまだ日は浅いですが、ししろんを始めねぽらぼの皆さんから沢山の元気を頂いています。一リスナーとして出来る事はとても少ないと思いますが、微力ではありますがこれからも推し事させて頂きます。ねぽらぼと我らSSRBに栄光あれ❗️,
Stig4K#8038 / @STIG_4000,Candy Bonz,Norway,1XpHX9L_mYcxLvdfnj-xHuMQFiQhSz_PJ.png,,,Your debut blew my mind and it opened my eyes to pc gaming. I have always been a console gamer but you inspired me to save money for a gamer pc. I finally made the leap and got myself a pre-built gaming pc. I look forward to join you on the battlefield in the future.,ぼたんちゃんのデビューはとても衝撃的で、PCゲーミングの面白さというものを私に気づかせてくれました。私はずっとコンソールゲーマーでしたが、ぼたんちゃんの影響を受け、ゲーミングPCを買うためにお金を節約するようになりました。そしてついに大きな一歩を踏み出し、ようやくゲーミングPCをゲットすることができました。いつかぼたんちゃんと戦場を共にできることを楽しみにしています。
@vxchee,Cheezy,United-States,Bodan.png,,,"Since joining the SSRB I've been promoted at work, received a raise, and won the lottery (small prize)!! Thank you for the wonderful year and congratulations on your anniversary! I will follow Botan Boss forever!",SSRBのメンバーになってからというもの、職場では昇進し、給料は上がり、宝くじにも当たりました（ちょっとだけですが）！！素敵な1年をありがとうございます。そして1周年おめでとうございます！これからもぼたん親分にずっとついていきます！
Aldway#1713,Aldway,,1yWws8C230vCWk0RKkME65DBD4wnx1mhY.jpg,,,"Congratulations on your first anniversary, to be honest I had never seen Vtubers before I met you, but since I saw you for the first time you have made my days happier. I hope this is only the first anniversary of many more and that we can continue to have fun for a long time to come.",1周年おめでとうございます。正直に言いますと、ぼたんちゃんに出会うまではVTuberというものを一度も見たことがありませんでした。ですが、ぼたんちゃんに出会ってから、私の日々はより幸せなものになりました。今回の記念日は、これから訪れるであろうたくさんの記念日のうちの最初のひとつであって欲しいと思いますし、これからも一緒に末長く楽しく過ごせるよう願っています。
Jandope # 5695,,Philippines,Bodan.png,,,いつも楽しい配信をありがとうございます。ししろんの悪ふざけ、笑い、そして今まで聞いたこともないようなかわいいくしゃみは、いつ聞いても飽きません。,
Discord Name (ShioManju [SSRB]#8663) / Twitter Name (@Shio_Manjuu),ShioManju,Vietnam,1iK02QsUrTzFnQmRTmaLa9iE0fdGIWfP7.png,,,"Hello Shishiron! I really wanted to say that you've been a blessing on my life when I really needed it. You've kept me out of depression in these trying times of my life. Thank you very much. And thank you for giving me this username, I'm sure it'll stay with me for the rest of my life.",ハロー、ししろん！ どうしても伝えておきたいことがあります。ししろんは私の人生において最も必要としていた時期に恵みであり続けてくれました。ししろんのおかげで、困難な時にも憂うつにならずにいられました。本当にありがとうございます。そして、このユーザーネームをつけてくれたことにも感謝します。この名前は、このまま一生私とともにあり続けることでしょう。
shiroume_senpai#2039,Shiroume,Philippines,Bodan.png,,,"Hey Botan! This is your first anniversary and its a special time for you and the rest of the 5th Gen, you all work so hard and we love you for that, also thank you for getting me into hololive. You are the first vtuber I ever watched and fell in love with. Thank you for everything! We love you!",やあ、ぼたん！今回は初めてのデビュー記念日で、あなたや5期生の皆さんにとっては特別な時間ですね。私たちは、皆さんが一生懸命に頑張ってくれている姿が大好きです。私をホロライブに夢中にさせてくれてありがとうございます。あなたは私が初めて見た、そして初めて恋に落ちたVTuberです。すべてに感謝です！ We love you!
Tee#9760 / @Teejayymiester,Tee,United-States,1hWeccmAWR5NYGXq6UUt-bzI1C9tx0QeR.png,,,Hi Botan!! Thanks for the memories and moments we’ve had over the past year! What an amazing year! Here’s to another one! 🌿,ハーイ、ぼたん!! ぼたんちゃんと一緒に過ごしてきたこの1年の思い出や時間に感謝です！なんて素晴らしい年だったんだろう！また新しい1年の始まりですね！ 🌿
紅葉#6560/@buta_tukune,紅葉(もみじ・こうよう・クレハ),Japan,1qeAjoHMAmiKqzSOdWfSC65BfI3uBvw49.png,E490DE0C-673F-4968-9E7F-78CFD3FE0FC7 - 紅葉 もみじ・こうよう・クレハ.png,紅葉(もみじ・こうよう・クレハ)/@buta_tukune,1周年おめでとう！！！ししろんに出会って日々が明るく楽しくなったよ！いつも楽しい配信をありがとう！1年で色々あったけど、VARKが1番思い出深かったです。とっくに落ちてたはずの心が深淵に飲み込まれていった…これからも応援していくんでよろしくお願いします！！！！,
